Key,Context,English,Deutsch,Français,中文,Español,Polski,Русский,日本,한국어
CARD_DROP_ERROR_REGIONOWNERSHIP,Mouse hover tooltip warning.,"Bạn cần kiểm soát địa điểm xây dựng tại đây.
Để mở rộng đến địa điểm này, trước tiên hãy tăng [!POPULATION:SG], [!ROBOTS:PL] hoặc cơ sở hạ tầng của thành phố lân cận. Sau đó nhấp vào phím mở rộng bên cạnh tên thành phố.","Du musst den Standort kontrollieren, um hier bauen zu können.
Um an diesem Standort bauen zu können, musst du zunächst die [!POPULATION], [!ROBOTS:PL:A] oder Infrastruktur einer Stadt in der Nähe erhöhen. Klicke anschließend auf das Expansionsfeld neben dem Namen der Stadt.","Construction impossible sur un lieu non contrôlé.
Pour vous étendre vers ce lieu, augmentez d’abord le nombre d’[!POPULATION:PL], de [!ROBOTS:PL] ou l’infrastructure d’une ville à proximité. Cliquez ensuite sur le bouton d’expansion près du nom de la ville.","你需要先控制该地点，才可在此建造。
要扩张到一个地点，首先要增长附近城市的[!POPULATION]、[!ROBOTS:PL]或基础设施。然后点击城市名称旁的扩张按钮。","Tienes que controlar la ubicación para poder construir aquí.
Para expandirte a esta ubicación, antes debes aumentar la [!POPULATION], los [!ROBOTS:PL] o la infraestructura de alguna ciudad cercana. Después, haz clic en el botón de expansión junto al nombre de la ciudad.","Możesz budować tylko na kontrolowanych przez siebie polach.
Aby zająć to pole, musisz zwiększyć liczebność [!POPULATION:SG:G], [!ROBOTS:PL:G] lub rozbudować infrastrukturę w sąsiednim mieście, a potem kliknąć przycisk rozbudowy obok nazwy miasta.","Чтобы начать здесь строительство, вы должны контролировать эту область.
Чтобы освоить эту область, сначала увеличьте [!POPULATION] или [!ROBOTS] либо улучшите инфраструктуру соседнего города. Затем щелкните по кнопке освоения рядом с названием города.","ここへ建てるには、ロケーションを制御する必要があります。
このロケーションへ拡大するには、近くにある都市の[!POPULATION]、[!ROBOTS:PL]、インフラのいずれかを増やしてください。その後、都市の名前の隣にある拡大ボタンをクリックします。","여기에 건설하려면 해당 위치를 점령하고 있어야 합니다.
이 위치로 확장하려면 먼저 인근 도시의 [!POPULATION], [!ROBOTS:PL], 기반 시설을 증가시키세요. 그다음 도시 이름 옆의 확장 버튼을 클릭하세요."
CARD_DROP_ERROR_REGIONOWNERSHIP_GAMEPAD,,"Bạn cần kiểm soát địa điểm xây dựng tại đây.
Để mở rộng đến địa điểm này, trước tiên hãy tăng [!POPULATION:SG], [!ROBOTS:PL] hoặc cơ sở hạ tầng của thành phố lân cận. Sau đó mở rộng thành phố từ chế độ xem hành tinh.","Du musst den Standort kontrollieren, um hier bauen zu können.
Um zu diesem Standort expandieren zu können, musst du zunächst die [!POPULATION], [!ROBOTS:PL:A] oder Infrastruktur einer Stadt in der Nähe erhöhen. Expandiere dann die Stadt in der Planetenansicht.","Construction impossible sur un lieu non contrôlé.
Pour vous étendre vers ce lieu, augmentez d’abord le nombre d’[!POPULATION:PL], de [!ROBOTS:PL] ou l’infrastructure d’une ville à proximité. Étendez ensuite la ville depuis la vue planétaire.","你需要先控制该地点，才可在此建造。
要扩张到一个地点，首先要增长附近城市的[!POPULATION]、[!ROBOTS:PL]或基础设施。然后在星球视图扩张城市。","Tienes que controlar la ubicación para poder construir aquí.
Para expandirte a esta ubicación, antes debes aumentar la [!POPULATION:SG], los [!ROBOTS:PL] o la infraestructura de alguna ciudad cercana. Después, puedes expandir la ciudad desde la vista planetaria.","Możesz budować tylko na kontrolowanych przez siebie polach.
Aby zająć to pole, musisz zwiększyć liczebność [!POPULATION:G], [!ROBOTS:G] lub rozbudować infrastrukturę w sąsiednim mieście, a potem rozbudować miasto z widoku planety.","Чтобы начать здесь строительство, вы должны контролировать эту область.
Чтобы освоить эту область, сначала увеличьте [!POPULATION:SG] или количество [!ROBOTS:PL], либо улучшите инфраструктуру соседнего города. Затем расширьте город в соседнюю область с карты планеты.","ここへ建てるには、ロケーションを制御する必要があります。
このロケーションへ拡大するには、近くにある都市の[!POPULATION:SG]、[!ROBOTS:PL]、インフラのいずれかを増やしてください。その後、惑星ビューから都市を拡大します。","여기에 건설하려면 해당 위치를 점령하고 있어야 합니다.
이 위치로 확장하려면 먼저 인근 도시의 [!POPULATION:SG], [!ROBOTS:PL], 기반 시설을 증가시키세요. 그다음 행성 보기에서 도시를 확장하세요."
CARD_DROP_ERROR_LESS_POPUPLATION,"Tooltip ""error"" message when attempting to construct a building to replace another. {0} is the other building name, for example ""hydroponic farm""",Không thể thay thế {dự án_Tên} với tòa nhà có ít nhân lực hơn ([!POPULATION:SG] hoặc [!ROBOTS:PL]) nếu các chỗ tòa nhà được mở khóa đang được sử dụng.,"{project_name} Kann nicht durch ein Gebäude ersetzt werden, das weniger Arbeitskraft hat ([!POPULATION] oder [!ROBOTS:PL:N]), wenn die freigeschalteten Bauplätze genutzt werden.",Impossible de remplacer {project_name} par un bâtiment fournissant moins de main-d’œuvre ([!POPULATION:PL] ou [!ROBOTS:PL]) si les emplacements de bâtiment débloqués sont déjà utilisés.,如果{project_name}提供的基础设施或解锁的地段正被使用，则无法用劳动力（[!POPULATION]或[!ROBOTS:PL]）更少的建筑替换它。,No se puede sustituir el proyecto {project_name} por una estructura que cuente con menos mano de obra ([!POPULATION] o [!ROBOTS:PL]) si los espacios de estructura desbloqueados ya están en uso.,"Nie można zastąpić tego budynku ({project_name}) innym, który zapewnia mniej [!POPULATION:SG:G] lub [!ROBOTS:PL:G], jeśli odblokowane miejsca na budynki są używane.","Невозможно заменить здание «{project_name}» зданием с меньшим количеством рабочей силы ([!POPULATION] или [!ROBOTS:PL]), если открыты ячейки строительства.",アンロック済みの施設スロットが使用中の場合、{project_name}に替えて人材（[!POPULATION]または[!ROBOTS:PL]）の足りない施設を建設することはできません。,"잠금 해제된 건물 슬롯이 사용 중인 경우, {project_name}을(를) 인력([!POPULATION] 또는 [!ROBOTS:PL])이 적은 건물로 교체할 수 없습니다."
CARD_DROP_ERROR_LESS_INFRASTRUCTURE,"Tooltip ""error"" message when attempting to construct a building to replace another. {0} is the other building name, for example ""hydroponic farm""",Không thể thay thế {dự án_Tên} với tòa nhà có ít cơ sở hạ tầng hơn nếu cơ sở hạ tầng của nó hiện đang được sử dụng.,"{project_name} kann nicht durch ein Gebäude ersetzt werden, das weniger Infrastruktur hat, wenn die Infrastruktur verwendet wird.",Impossible de remplacer {project_name} avec un bâtiment qui possède moins d’infrastructures si ses infrastructures sont en cours d’utilisation.,如果{project_name}的基础设施正被使用，则无法使用基础设施更少的建筑替换它。,"Si la infraestructura del proyecto {project_name} ya está en uso, este no se puede sustituir por otro que tenga menos infraestructura.","Nie można zastąpić tego budynku ({project_name}) innym, jeśli zastępowany budynek zapewnia szerszy zakres obsługi infrastruktury lub jest ona w użyciu.","Невозможно заменить здание «{project_name}» зданием с менее развитой инфраструктурой, если его инфраструктура используется в данный момент.",インフラを現在使用中の場合、{project_name}に替えてインフラの足りない施設を建設することはできません。,"기반 시설이 현재 사용 중인 경우, {project_name}을(를) 기반 시설이 적은 건물로 교체할 수 없습니다."
CARD_DROP_WARN_REPLACE,"Tooltip ""warning"" message when attempting to construct a building to replace another. {0} is the other building name, for example ""hydroponic farm""",Thay thế {dự án_Tên}.,{project_name} wird ersetzt.,Remplacera le bâtiment {project_name}.,正在替换{project_name}。,Se va a sustituir {project_name}.,Zastępowanie ({project_name}).,Замена здания «{project_name}».,{project_name}を建て替え中。,{project_name} 교체.
CITYSCREEN_BACK,Generic button,Trở lại hành tinh,Zurück zum Planeten,Retour à la planète,返回星球,Volver al planeta,Powrót na planetę,Назад на планету,惑星へ戻る,행성으로 돌아가기
CITYSCREEN_BUILDING_REGION_COUNT_TOOLTIP,Mouse hover tooltip.,"<style=title_tooltips>Địa điểm và tòa nhà tối đa</style>
Mỗi [!POPULATION:SG] hoặc [!ROBOTS:PL] cho phép thành phố mở rộng thêm 1 [!LOCATION] và cho phép xây dựng thêm [!BUILDING:PL] bên trong thành phố:

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: Cực đại 5 [!BUILDING:PL].
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: Cực đại 9 [!BUILDING:PL].
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: Cực đại 12 [!BUILDING:PL].
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: Cực đại 14 [!BUILDING:PL].
5 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: Cực đại 15 [!BUILDING:PL].

Một số tòa nhà và công nghệ đặc biệt cũng có thể tăng số lượng tòa nhà tối đa mà thành phố có thể có và các địa điểm mà thành phố có thể mở rộng tới.","<style=title_tooltips>Maximale Standorte und Gebäude</style>
Jeder neue Punkt bei [!POPULATION] oder [!ROBOTS:PL:D] ermöglicht der Stadt, zu 1 weiteren [!LOCATION:SG:D] zu expandieren und weitere [!BUILDING:PL:A] in der Stadt zu bauen:

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: max. 5 [!BUILDING:PL:N].
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: max. 9 [!BUILDING:PL:N].
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: max. 12 [!BUILDING:PL:N].
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: max. 14 [!BUILDING:PL:N].
5 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: max. 15 [!BUILDING:PL:N].

Einige besondere Gebäude und Technologien können ebenfalls die maximale Anzahl von Gebäuden in einer Stadt und Standorte, wohin diese Stadt expandieren kann, erhöhen.","<style=title_tooltips>Limites de lieux et de bâtiments</style>
Chaque [!POPULATION:SG] et chaque [!ROBOTS] permet à la ville de s’étendre vers 1 [!LOCATION]supplémentaire, ainsi que de construire davantage de [!BUILDING:PL].

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon""> : 5 [!BUILDING:PL] maximum.
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon""> : 9 [!BUILDING:PL] maximum.
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon""> : 12 [!BUILDING:PL] maximum.
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon""> : 14 [!BUILDING:PL] maximum.
5<sprite name=""Population Icon""> / <sprite name=""Robots Icon""> : 15 [!BUILDING:PL] maximum.

Certaines technologies et certains bâtiments spéciaux peuvent également augmenter les limites de lieux et de construction.","<style=title_tooltips>地点和建筑的上限</style>
每个[!POPULATION]和[!ROBOTS:PL]，都让城市能够多扩张1个[!LOCATION]，同时也让城市内得以建造更多的[!BUILDING:PL]，具体来说：

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">： 最多有5[!BUILDING:PL].
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">： 最多有9[!BUILDING:PL].
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">： 最多有12[!BUILDING:PL].
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">： 最多有14[!BUILDING:PL].
5 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">： 最多有15[!BUILDING:PL].  

除此以外，一些特殊的建筑和技术，也能增加城市的建筑和地点上限。","<style=title_tooltips>Límite de ubicaciones y estructuras</style>
Cada indicador de [!POPULATION] o de [!ROBOTS:PL] permite expandir la ciudad 1 [!LOCATION] adicional y la construcción de más [!BUILDING:PL] en su interior:

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 5 [!BUILDING:PL] como máximo.
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 9 [!BUILDING:PL] como máximo.
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 12 [!BUILDING:PL] como máximo.
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 14 [!BUILDING:PL] como máximo.
5 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 15 [!BUILDING:PL] como máximo.

Ciertas estructuras y tecnologías especiales, además, incrementan la cantidad máxima de estructuras que puede albergar una ciudad y el número de ubicaciones a las que se puede expandir.","<style=title_tooltips>Maksymalna liczba pól i budynków</style>
Każdy punkt [!POPULATION:SG:G] lub [!ROBOTS:PL:G] umożliwia rozbudowę miasta na 1 dodatkowe [!LOCATION:SG:A] oraz zwiększa jego limit [!BUILDING:PL:G]:

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: maks. 5 [!BUILDING:PL].
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: maks. 9 [!BUILDING:PL:G].
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: maks. 12 [!BUILDING:PL:G].
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: maks. 14 [!BUILDING:PL:G].
5 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: maks. 15 [!BUILDING:PL:G].

Istnieją specjalne budynki i technologie zwiększające limit budynków oraz pól, na które można rozbudować dane miasto.","<style=title_tooltips>Лимит областей и зданий</style>
Каждая единица [!POPULATION] или [!ROBOTS:PL] позволяет вашему городу освоить еще 1 [!LOCATION:SG:A] и возвести дополнительные [!BUILDING:PL] в самом городе:

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: макс. 5 [!BUILDING:PL].
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: макс. 9 [!BUILDING:PL].
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: макс. 12 [!BUILDING:PL].
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: макс. 14 [!BUILDING:PL].
5 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: макс. 15 [!BUILDING:PL].

Также количество доступных зданий и областей можно увеличить, изучив нужные технологии или возведя особые постройки.","<style=title_tooltips>ロケーション・施設の上限</style>
[!POPULATION]または[!ROBOTS:PL]1人ごとに[!LOCATION]が1つ拡大でき、都市内で追加の[!BUILDING:PL]建設が可能になります：

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">：最大5[!BUILDING:PL]。
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">：最大9[!BUILDING:PL]。
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">：最大12[!BUILDING:PL]。
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">：最大14[!BUILDING:PL]。
5 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">：最大15[!BUILDING:PL]。

特殊な施設やテクノロジーの中には、都市が所有できる施設や拡大できるロケーションの上限を増やせるものもあります。","<style=title_tooltips>최대 위치 및 건물</style>
[!POPULATION] 또는 [!ROBOTS:PL]은 각각 도시가 추가 1개의 [!LOCATION]에 확장될 수 있게 해주며, 도시 내에 추가 [!BUILDING:PL]을 건설할 수 있게 해줍니다:

1 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 최대 [!BUILDING:PL] 5개.
2 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 최대 [!BUILDING:PL] 9개.
3 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 최대 [!BUILDING:PL] 12개.
4 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 최대 [!BUILDING:PL] 14개.
5 <sprite name=""Population Icon""> / <sprite name=""Robots Icon"">: 최대 [!BUILDING:PL] 15개.

일부 특별 건물과 기술이 도시에 포함될 수 있는 최대 건물 개수와 도시가 확장될 수 있는 위치의 수를 증가시켜 주기도 합니다."
EVENT_0_DESCRIPTION,Event popup.,Điều này không nên xảy ra.,Das hätte nicht passieren dürfen.,Ce n’était pas censé se passer ainsi.,这种情况本不该发生。,Esto no tendría que haber pasado.,To się nie powinno wydarzyć.,Этого не должно было случиться.,これは起きるはずのない出来事だ。,일어나지 않았어야 하는 일입니다.
EVENT_0_OPTION_1,Event popup.,Báo cáo lỗi,Fehler melden,Signaler le bug,上报故障,Informar de un error,Zgłoś błąd,Сообщить об ошибке,バグを報告,버그 신고
EVENT_0_TITLE,Event popup.,Sự kiện lỗi,Fehler,Incident,错误事件,Error,Zdarzenie błędu,Произошла ошибка,エラーイベント,에러 이벤트
EVENT_1_DESCRIPTION,Event popup.,"<style=""H2Event"">Kênh truyền thông lớn trên Trái đất đang quay bộ phim tài liệu về ""Sống trên sao Hỏa"".</style>
Họ yêu cầu phỏng vấn và đó sẽ là cách tuyệt vời để thu hút đầu tư vào lĩnh vực cụ thể. Chúng ta nên tập trung vào điều gì trong cuộc thảo luận?","<style=""H2Event"">Ein großer Sender auf der Erde dreht eine Dokumentation über das Leben auf dem Mars.</style>
Sie bitten um ein Interview, was eine gute Gelegenheit wäre, für Investitionen in einen bestimmten Bereich zu werben. Auf welches Thema sollen wir uns bei dem Interview konzentrieren?","<style=""H2Event"">Une grande chaîne sur Terre prépare un documentaire sur « La Vie sur Mars ».</style>
Une interview serait un excellent moyen d’attirer des investisseurs. Sur quoi la discussion devrait-elle porter ?","<style=""H2Event"">地球上有个大型传媒正在拍摄一档纪录片《火星生活》。</style>
他们提出了采访请求，这将会是为某个特定领域吸引投资的良机。那么在这次采访中，讨论的重点应放在何处？","<style=""H2Event"">Un importante medio de comunicación de la Tierra está grabando un documental llamado «El día a día en Marte».</style>
Han solicitado una entrevista y la verdad es que sería una forma estupenda de captar inversores para este sector en particular. ¿Qué temas deberíamos destacar durante la entrevista?","<style=""H2Event"">Jedna z największych stacji telewizyjnych na Ziemi kręci film dokumentalny o życiu na Marsie.</style>
Twórcy chcą zrobić z tobą wywiad. To świetna okazja, by zainteresować inwestorów określonym tematem. Wybierz temat przewodni dyskusji.","<style=""H2Event"">Крупный медиаканал на Земле собирается снять документальный фильм «Жизнь на Марсе».</style>
Журналисты просят вас дать им интервью, и это неплохой шанс привлечь инвестиции в нужную отрасль. На чем стоит сосредоточиться во время разговора?","<style=""H2Event"">地球の巨大なメディアチャンネルが「火星での生活」についてのドキュメンタリーを撮影している。</style>
そこでインタビューを求められているが、特定の分野への投資を呼び込むのにうってつけだろう。ディスカッション中、何に重点を置こうか？","<style=""H2Event"">지구의 대형 미디어 채널이 ""화성에서의 삶""에 대한 다큐멘터리를 촬영하고 있습니다.</style>
해당 채널에서 인터뷰를 요청해 왔는데, 이 분야에 대한 투자금을 끌어모을 수 있는 좋은 방법일 것 같습니다. 어떤 측면에 집중해서 논의해야 할까요?"
EVENT_1_OPTION_1,Event popup.,Tiềm năng khoa học.,Möglichkeiten für die Wissenschaft,Les opportunités scientifiques,科研机遇。,Las oportunidades científicas.,Szanse na badania naukowe,Развитие науки.,科学的機会,과학적 기회
EVENT_1_OPTION_2,Event popup.,Sự cần thiết của các nhà thám hiểm.,Bedarf an Abenteurern,Le besoin d’aventuriers,对探险家的需求。,Lo mucho que se necesita gente aventurera.,Rekrutacja śmiałków,Необходимость притока колонистов.,冒険家の需要,모험가의 필요성
EVENT_1_OPTION_3,Event popup.,Khả năng địa khai hóa.,Chancen des Terraformings,Les possibilités de la Terraformation,类地化改造的潜力。,Las puertas que nos abriría la terraformación.,Możliwości terraformowania,Возможности терраформирования.,テラフォーミングの可能性,테라포밍 가능성
EVENT_1_TITLE,Event popup.,Phim tài liệu truyền thông,Dokumentation,Couverture médiatique,媒体纪录片,Documental mediático,Film dokumentalny,Документальный фильм,メディアのドキュメンタリー,미디어 다큐멘터리
EVENT_12_OPTION_1,Event popup.,Thu thập tài nguyên,Ressourcen sammeln,Récolter les ressources,收集资源,Recoger recursos,Zbierz zasoby,Собрать ресурсы,資源を回収,자원 채집
EVENT_12_TITLE,Event popup.,Báo cáo triển vọng tài nguyên,Prospektionsbericht,Rapport de prospection de ressources,资源勘察报告,Informe de prospección de recursos,Raport z poszukiwań zasobów,Отчет по ресурсной разработке,資源探鉱レポート,자원 전망 보고서
